Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Account_Balance,Branch_Code,Channel,Status,Last_Updated_Timestamp,Record_Operation
1001,501,2023-09-01,DEPOSIT,15000.00,45000.00,BR001,ONLINE,SUCCESS,2025-09-01 10:15:00,INSERT
1002,502,2023-09-01,WITHDRAWAL,5000.00,20000.00,BR002,ATM,SUCCESS,2025-09-01 11:00:00,INSERT
1003,503,2023-09-01,TRANSFER,7500.00,32500.00,BR003,MOBILE,SUCCESS,2025-09-01 11:30:00,INSERT
1004,504,2023-09-01,DEPOSIT,2000.00,12000.00,BR001,IN-PERSON,SUCCESS,2025-09-01 12:00:00,INSERT
1005,505,2023-09-01,WITHDRAWAL,3000.00,9000.00,BR002,ONLINE,FAILED,2025-09-01 12:30:00,INSERT
1006,506,2023-10-01,WITHDRAWAL,4000.00,9000.00,BR005,MOBILE,SUCCESS,2023-10-01 10:40:00,INSERT
1007,507,2023-11-02,WITHDRAWAL,5000.00,9000.00,BR002,IN-PERSON,SUCCESS,2023-11-02 12:38:00,INSERT
1008,508,2023-12-03,DEPOSIT,6000.00,19000.00,BR001,ONLINE,FAILED,2023-12-03 12:31:00,INSERT
1009,509,2024-01-04,WITHDRAWAL,7000.00,9000.00,BR003,ONLINE,SUCCESS,2024-01-04 12:37:00,INSERT
1010,510,2024-02-05,WITHDRAWAL,8000.00,9000.00,BR004,IN-PERSON,SUCCESS,2024-02-05 11:36:00,INSERT
1011,511,2024-03-06,DEPOSIT,9000.00,9000.00,BR002,MOBILE,FAILED,2024-03-06 12:50:00,INSERT
1012,512,2024-04-07,WITHDRAWAL,10000.00,29000.00,BR001,IN-PERSON,SUCCESS,2024-04-07 12:22:00,INSERT
1013,513,2024-05-08,WITHDRAWAL,11000.00,39000.00,BR005,ATM,FAILED,2024-05-08 12:33:00,INSERT
1014,514,2024-06-09,DEPOSIT,12000.00,79000.00,BR002,ONLINE,SUCCESS,2024-06-09 11:35:00,INSERT
1015,515,2025-09-01,WITHDRAWAL,13000.00,49000.00,BR004,IN-PERSON,FAILED,2025-09-01 09:30:00,INSERT
1016,516,2024-08-02,DEPOSIT,14000.00,15000.00,BR001,MOBILE,SUCCESS,2024-08-02 11:45:00,INSERT
1017,517,2024-09-03,WITHDRAWAL,15000.00,59000.00,BR004,ATM,SUCCESS,2024-09-03 10:30:00,INSERT
1017,517,2024-09-04,WITHDRAWAL,15000.00,59000.00,BR004,ATM,FAILED,2024-09-04 10:31:00,DELETE
1018,518,2024-10-04,DEPOSIT,16000.00,69000.00,BR002,ONLINE,SUCCESS,2024-10-04 10:20:00,INSERT
1018,518,2024-10-05,DEPOSIT,1000.00,70000.00,BR002,ONLINE,SUCCESS,2024-10-05 10:21:00,UPDATE
1019,519,2024-11-05,WITHDRAWAL,17000.00,79000.00,BR002,IN-PERSON,SUCCESS,2024-11-05 11:30:00,INSERT
1020,520,2024-02-06,WITHDRAWAL,18000.00,89000.00,BR005,ATM,SUCCESS,2024-02-06 11:35:00,INSERT
1020,520,2024-02-07,DEPOSIT,1000.00,90000.00,BR005,ATM,SUCCESS,2024-02-07 11:35:00,UPDATE
1005,505,2023-09-01,WITHDRAWAL,3000.00,9000.00,BR002,ONLINE,FAILED,2025-09-01 12:30:00,INSERT
1005,505,2023-09-01,WITHDRAWAL,3000.00,9000.00,BR002,ONLINE,FAILED,2025-09-01 12:30:00,INSERT
1005,505,2023-09-01,WITHDRAWAL,3000.00,9000.00,BR002,ONLINE,FAILED,2025-09-01 12:30:00,INSERT
1005,505,2023-09-01,WITHDRAWAL,3000.00,9000.00,BR002,ONLINE,FAILED,2025-09-01 12:30:00,INSERT
1005,505,2023-09-01,WITHDRAWAL,3000.00,9000.00,BR002,ONLINE,FAILED,2025-09-01 12:30:00,INSERT
